ZIP_CODE,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,
1001,56663,66688,
1002,49853,75063,
1003,28462,35121,
1005,75423,82442,
1007,79076,85802,
1008,63980,78391,
1009,51452,66737,
1010,75625,80919,
1011,63476,77443,
1012,58750,74722,
1013,36578,46179,
1020,50058,58516,
1022,50440,60797,
1026,60320,71505,
1027,58573,66613,
1028,80252,94891,
1029,62955,97075,
1030,71106,81727,
1031,61250,76417,
1032,67692,79796,
1034,63980,78391,
1035,69911,73973,
1036,78869,95493,
1037,61250,76417,
1038,53939,72430,
1039,66284,78497,
1040,35549,43615,
1050,62097,70566,
1053,60477,77611,
1054,67831,86678,
1056,63318,72027,
1057,73254,78485,
1060,48069,67478,
1062,60686,82398,
1063,40694,32047,
1066,53939,72430,
1068,77396,81314,
1069,50345,65297,
1070,60320,71505,
1071,63980,78391,
1072,67831,86678,
1073,80738,94452,
1074,75423,82442,
1075,63053,76027,
1077,73645,81585,
1079,51452,66737,
1080,50100,59535,
1081,65917,76367,
1082,51936,60093,
1083,55030,70156,
1084,58750,74722,
1085,57598,68897,
1086,93611,83650,
1088,53939,72430,
1089,53711,64226,
1092,55030,70156,
1093,59722,72440,
1094,61250,76417,
1095,89486,101878,
1096,66148,78920,
1097,63980,78391,
1098,60320,71505,
1103,16963,25747,
1104,35380,43969,
1105,17756,27144,
1106,91889,134662,
1107,23557,33974,
1108,37411,48866,
1109,34638,44049,
1118,55853,62546,
1119,45184,52187,
1128,63177,66605,
1129,58704,66403,
1151,34175,50951,
1199,48306,58759,
1201,46765,57694,
1220,38379,50308,
1222,47145,68665,
1223,48478,71204,
1224,66458,82491,
1225,57419,75267,
1226,57505,70710,
1229,55096,70740,
1230,53584,73996,
1235,63877,73062,
1236,55718,74247,
1237,69659,87759,
1238,51053,64187,
1240,60458,74117,
1242,60604,74264,
1243,60320,71505,
1244,57917,73592,
1245,63152,90383,
1247,38405,48295,
1253,62955,97075,
1254,79145,103371,
1255,62955,97075,
1256,54167,59862,
1257,47145,68665,
1258,55764,80635,
1259,57917,73592,
1260,53297,67749,
1262,55096,70740,
1264,63250,89918,
1266,64328,79025,
1267,69925,104709,
1270,70662,76919,
1301,47833,54338,
1330,70326,81554,
1331,49110,59949,
1337,57550,68074,
1338,56596,67203,
1339,6531,7755,
1341,70326,81554,
1342,61912,77805,
1343,54167,59862,
1344,54836,62158,
1347,50189,64302,
1349,51401,63743,
1351,50189,64302,
1354,57550,68074,
1355,67831,86678,
1360,70606,75984,
1364,44676,51820,
1366,68374,75325,
