ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
1001,56663,16769,1465.565461,5737.5,64422.5
1002,49853,29049,527.751031,2517.5,28040.0
1003,28462,10372,14587.904359999999,0.0,0.0
1005,75423,5079,114.8004159,4307.5,45322.5
1007,79076,14649,278.2706153,4782.5,47247.5
1008,63980,1263,23.47758198,5.0,0.0
1009,51452,741,929.7365118999999,0.0,0.0
1010,75625,3609,103.87704000000001,0.0,0.0
1011,63476,1370,43.33248988,0.0,0.0
1012,58750,661,50.38493788,0.0,0.0
1013,36578,23188,4123.044097,4040.0,60205.0
1020,50058,29668,2379.14996,8487.5,180010.0
1022,50440,2451,514.8078135,0.0,0.0
1026,60320,946,39.41009832,0.0,0.0
1027,58573,17660,436.03861629999994,5270.0,67695.0
1028,80252,15720,1208.67292,2697.5,45197.5
1029,62955,789,49.78546189,0.0,0.0
1030,71106,11669,983.3150754000001,1555.0,23475.0
1031,61250,1308,161.641127,0.0,0.0
1032,67692,570,48.4323222,0.0,0.0
1034,63980,2021,28.2274397,0.0,0.0
1035,69911,5250,227.4105518,2862.5,11135.0
1036,78869,5109,261.8254497,0.0,0.0
1037,61250,838,59.38629438,0.0,0.0
1038,53939,2545,254.5509102,0.0,0.0
1039,66284,1336,101.1584766,0.0,0.0
1040,35549,39880,1873.972088,7152.5,146815.0
1050,62097,2530,66.00746171,0.0,0.0
1053,60477,1685,328.3960242,0.0,0.0
1054,67831,1851,81.15929320000001,0.0,0.0
1056,63318,21103,775.7029957999999,4602.5,86610.0
1057,73254,8534,190.0329563,2025.0,13900.0
1060,48069,15284,1399.6337,8175.0,126398.68400000001
1062,60686,11150,614.1897102999999,820.0,15395.0
1063,40694,430,11025.641029999999,0.0,0.0
1066,53939,64,90.14084507,0.0,0.0
1068,77396,1902,91.35446686,0.0,0.0
1069,50345,8469,301.7637627,14122.5,89660.0
1070,60320,629,30.62168346,0.0,0.0
1071,63980,1596,102.4455998,0.0,0.0
1072,67831,1478,73.58359056,0.0,0.0
1073,80738,5792,205.74026709999998,1855.0,21320.0
1074,75423,319,3752.941176,0.0,0.0
1075,63053,17527,989.2200023,1380.0,19235.0
1077,73645,9502,308.2962915,3347.5,35230.0
1079,51452,692,613.4751772999999,0.0,0.0
1080,50100,2334,1351.476549,0.0,0.0
1081,65917,1698,117.12768159999999,0.0,0.0
1082,51936,10322,223.8802733,14305.0,109022.5
1083,55030,2888,183.01647659999998,0.0,0.0
1084,58750,176,19.136675,0.0,0.0
1085,57598,41117,686.633713,14427.5,144716.38100000002
1086,93611,687,18567.56757,0.0,0.0
1088,53939,670,128.8461538,0.0,0.0
1089,53711,28391,1698.7375100000002,43190.0,173237.5
1092,55030,1394,207.9665821,0.0,0.0
1093,59722,325,64.43298969,0.0,0.0
1094,61250,351,308.9788732,0.0,0.0
1095,89486,14319,633.1918281000001,1432.5,35362.5
1096,66148,2217,69.97443424,960.0,8347.5
1097,63980,111,64.95026331,0.0,0.0
1098,60320,1101,35.11737688,0.0,0.0
1103,16963,2479,5389.130435,1647.5,69220.0
1104,35380,22865,4383.6273009999995,3185.0,101895.0
1105,17756,12350,9935.639582,0.0,0.0
1106,91889,16021,1722.502957,1840.0,22497.5
1107,23557,11611,7704.7113469999995,282.5,86852.5
1108,37411,26688,7168.412570999999,3507.5,69340.0
1109,34638,30250,5558.618155,2370.0,68782.5
1118,55853,14071,3914.047288,627.5,14842.5
1119,45184,14152,3986.4788729999996,3820.0,41619.8355
1128,63177,2631,2355.416294,1927.5,21247.3355
1129,58704,7019,2049.941589,2492.5,20100.0
1151,34175,8698,3673.141892,0.0,0.0
1201,46765,46504,878.7936052000001,20252.5,179060.0
1220,38379,8603,349.77232069999997,1680.0,24572.5
1222,47145,829,250.680375,0.0,0.0
1223,48478,2314,33.17515161,0.0,0.0
1224,66458,182,654.676259,0.0,0.0
1225,57419,3117,124.15358880000001,0.0,0.0
1226,57505,6945,263.2875881,680.0,4025.0
1229,55096,95,129.6043656,0.0,0.0
1230,53584,8430,92.10900111,5207.5,37675.0
1235,63877,2766,60.60074929,0.0,0.0
1236,55718,1509,314.244065,0.0,0.0
1237,69659,2496,40.37332384,330.0,4637.5
