BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
37660,SULLIVAN,KINGSPORT,TN,16328
21061,ANNE ARUNDEL,GLEN BURNIE,MD,15239
48180,WAYNE,TAYLOR,MI,13036
72401,CRAIGHEAD,JONESBORO,AR,12982
71913,GARLAND,HOT SPRINGS,AR,12566
41042,BOONE,FLORENCE,KY,12445
47150,FLOYD,NEW ALBANY,IN,12156
18974,BUCKS,WARMINSTER,PA,11841
40701,WHITLEY,CORBIN,KY,11132
43701,MUSKINGUM,ZANESVILLE,OH,10835
48162,MONROE,MONROE,MI,10673
85032,MARICOPA,PHOENIX,AZ,10650
46227,MARION,INDIANAPOLIS,IN,10606
45601,ROSS,CHILLICOTHE,OH,10543
59102,YELLOWSTONE,BILLINGS,MT,10539
21740,WASHINGTON,HAGERSTOWN,MD,10489
37211,DAVIDSON,NASHVILLE,TN,10475
95350,STANISLAUS,MODESTO,CA,10445
25801,RALEIGH,BECKLEY,WV,10392
63901,BUTLER,POPLAR BLUFF,MO,10346
75701,SMITH,TYLER,TX,10201
28792,HENDERSON,HENDERSONVILLE,NC,10126
65804,GREENE,SPRINGFIELD,MO,10085
85308,MARICOPA,GLENDALE,AZ,9913
65803,GREENE,SPRINGFIELD,MO,9864
64055,JACKSON,INDEPENDENCE,MO,9777
28655,BURKE,MORGANTON,NC,9742
43130,FAIRFIELD,LANCASTER,OH,9699
98270,SNOHOMISH,MARYSVILLE,WA,9672
14043,ERIE,DEPEW,NY,9615
74012,TULSA,BROKEN ARROW,OK,9602
38555,CUMBERLAND,CROSSVILLE,TN,9553
97504,JACKSON,MEDFORD,OR,9544
70072,JEFFERSON,MARRERO,LA,9487
35801,MADISON,HUNTSVILLE,AL,9466
21801,WICOMICO,SALISBURY,MD,9444
33613,HILLSBOROUGH,TAMPA,FL,9406
38501,PUTNAM,COOKEVILLE,TN,9376
33511,HILLSBOROUGH,BRANDON,FL,9321
74133,TULSA,TULSA,OK,9316
35601,MORGAN,DECATUR,AL,9271
84041,DAVIS,LAYTON,UT,9263
34667,PASCO,HUDSON,FL,9207
41501,PIKE,PIKEVILLE,KY,9171
59901,FLATHEAD,KALISPELL,MT,9155
72015,SALINE,BENTON,AR,9146
47362,HENRY,NEW CASTLE,IN,9099
83301,TWIN FALLS,TWIN FALLS,ID,9087
32819,ORANGE,ORLANDO,FL,9058
33781,PINELLAS,PINELLAS PARK,FL,8935
65401,PHELPS,ROLLA,MO,8918
37421,HAMILTON,CHATTANOOGA,TN,8912
16001,BUTLER,BUTLER,PA,8907
37167,RUTHERFORD,SMYRNA,TN,8897
30117,CARROLL,CARROLLTON,GA,8829
37604,WASHINGTON,JOHNSON CITY,TN,8824
37620,SULLIVAN,BRISTOL,TN,8812
3301,MERRIMACK,CONCORD,NH,8798
98632,COWLITZ,LONGVIEW,WA,8708
34233,SARASOTA,SARASOTA,FL,8701
97477,LANE,SPRINGFIELD,OR,8699
73505,COMANCHE,LAWTON,OK,8685
67203,SEDGWICK,WICHITA,KS,8665
31533,COFFEE,DOUGLAS,GA,8632
42101,WARREN,BOWLING GREEN,KY,8621
15601,WESTMORELAND,GREENSBURG,PA,8614
28043,RUTHERFORD,FOREST CITY,NC,8599
35501,WALKER,JASPER,AL,8592
43228,FRANKLIN,COLUMBUS,OH,8564
30114,CHEROKEE,CANTON,GA,8538
37830,ANDERSON,OAK RIDGE,TN,8516
34471,MARION,OCALA,FL,8510
30165,FLOYD,ROME,GA,8501
37087,WILSON,LEBANON,TN,8477
40216,JEFFERSON,LOUISVILLE,KY,8456
46901,HOWARD,KOKOMO,IN,8452
88001,DONA ANA,LAS CRUCES,NM,8449
89121,CLARK,LAS VEGAS,NV,8385
53215,MILWAUKEE,MILWAUKEE,WI,8338
49202,JACKSON,JACKSON,MI,8332
95355,STANISLAUS,MODESTO,CA,8315
38305,MADISON,JACKSON,TN,8257
24153,SALEM,SALEM,VA,8245
16602,BLAIR,ALTOONA,PA,8233
38401,MAURY,COLUMBIA,TN,8229
64804,JASPER,JOPLIN,MO,8226
42701,HARDIN,ELIZABETHTOWN,KY,8221
97526,JOSEPHINE,GRANTS PASS,OR,8203
37814,HAMBLEN,MORRISTOWN,TN,8178
46383,PORTER,VALPARAISO,IN,8163
14224,ERIE,WEST SENECA,NY,8126
45069,BUTLER,WEST CHESTER,OH,8126
29526,HORRY,CONWAY,SC,8115
49684,GRAND TRAVERSE,TRAVERSE CITY,MI,8098
37040,MONTGOMERY,CLARKSVILLE,TN,8041
47304,DELAWARE,MUNCIE,IN,8031
85374,MARICOPA,SURPRISE,AZ,7987
77375,HARRIS,TOMBALL,TX,7967
37601,WASHINGTON,JOHNSON CITY,TN,7950
37076,DAVIDSON,HERMITAGE,TN,7940
21401,ANNE ARUNDEL,ANNAPOLIS,MD,7938
41701,PERRY,HAZARD,KY,7915
16335,CRAWFORD,MEADVILLE,PA,7911
92307,SAN BERNARDINO,APPLE VALLEY,CA,7903
39503,HARRISON,GULFPORT,MS,7883
97030,MULTNOMAH,GRESHAM,OR,7869
6010,HARTFORD,BRISTOL,CT,7855
32218,DUVAL,JACKSONVILLE,FL,7851
47374,WAYNE,RICHMOND,IN,7844
46514,ELKHART,ELKHART,IN,7811
12901,CLINTON,PLATTSBURGH,NY,7809
33614,HILLSBOROUGH,TAMPA,FL,7806
24012,ROANOKE CITY,ROANOKE,VA,7797
71105,CADDO,SHREVEPORT,LA,7752
35055,CULLMAN,CULLMAN,AL,7739
44483,TRUMBULL,WARREN,OH,7727
30041,FORSYTH,CUMMING,GA,7723
31021,LAURENS,DUBLIN,GA,7721
34711,LAKE,CLERMONT,FL,7720
87112,BERNALILLO,ALBUQUERQUE,NM,7713
10940,ORANGE,MIDDLETOWN,NY,7704
95630,SACRAMENTO,FOLSOM,CA,7697
47201,BARTHOLOMEW,COLUMBUS,IN,7682
45013,BUTLER,HAMILTON,OH,7680
40475,MADISON,RICHMOND,KY,7676
60435,WILL,JOLIET,IL,7668
89117,CLARK,LAS VEGAS,NV,7653
28806,BUNCOMBE,ASHEVILLE,NC,7652
65807,GREENE,SPRINGFIELD,MO,7646
63640,SAINT FRANCOIS,FARMINGTON,MO,7639
24112,MARTINSVILLE CITY,MARTINSVILLE,VA,7636
29150,SUMTER,SUMTER,SC,7608
4401,PENOBSCOT,BANGOR,ME,7605
74464,CHEROKEE,TAHLEQUAH,OK,7603
87505,SANTA FE,SANTA FE,NM,7602
47905,TIPPECANOE,LAFAYETTE,IN,7601
37129,RUTHERFORD,MURFREESBORO,TN,7598
37075,SUMNER,HENDERSONVILLE,TN,7594
29621,ANDERSON,ANDERSON,SC,7590
62301,ADAMS,QUINCY,IL,7589
32210,DUVAL,JACKSONVILLE,FL,7571
27536,VANCE,HENDERSON,NC,7547
33771,PINELLAS,LARGO,FL,7545
65109,COLE,JEFFERSON CITY,MO,7541
70601,CALCASIEU,LAKE CHARLES,LA,7537
29678,OCONEE,SENECA,SC,7536
99508,ANCHORAGE,ANCHORAGE,AK,7523
19148,PHILADELPHIA,PHILADELPHIA,PA,7520
28403,NEW HANOVER,WILMINGTON,NC,7517
37303,MCMINN,ATHENS,TN,7516
21502,ALLEGANY,CUMBERLAND,MD,7498
70433,SAINT TAMMANY,COVINGTON,LA,7498
89014,CLARK,HENDERSON,NV,7497
90242,LOS ANGELES,DOWNEY,CA,7464
30501,HALL,GAINESVILLE,GA,7447
31904,MUSCOGEE,COLUMBUS,GA,7443
30606,CLARKE,ATHENS,GA,7442
48195,WAYNE,SOUTHGATE,MI,7441
27203,RANDOLPH,ASHEBORO,NC,7434
37821,COCKE,NEWPORT,TN,7424
93003,VENTURA,VENTURA,CA,7408
40741,LAUREL,LONDON,KY,7399
72143,WHITE,SEARCY,AR,7392
2301,PLYMOUTH,BROCKTON,MA,7384
30281,HENRY,STOCKBRIDGE,GA,7367
15401,FAYETTE,UNIONTOWN,PA,7366
70458,SAINT TAMMANY,SLIDELL,LA,7338
