ZIP_CODE,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
1001,16769,1465.565461
1002,29049,527.751031
1003,10372,14587.90436
1005,5079,114.8004159
1007,14649,278.2706153
1008,1263,23.47758198
1009,741,929.7365119
1010,3609,103.87704
1011,1370,43.33248988
1012,661,50.38493788
1013,23188,4123.044097
1020,29668,2379.14996
1022,2451,514.8078135
1026,946,39.41009832
1027,17660,436.0386163
1028,15720,1208.67292
1029,789,49.78546189
1030,11669,983.3150754
1031,1308,161.641127
1032,570,48.4323222
1033,6227,223.7835118
1034,2021,28.2274397
1035,5250,227.4105518
1036,5109,261.8254497
1037,838,59.38629438
1038,2545,254.5509102
1039,1336,101.1584766
1040,39880,1873.972088
1050,2530,66.00746171
1053,1685,328.3960242
1054,1851,81.1592932
1056,21103,775.7029958
1057,8534,190.0329563
1060,15284,1399.6337
1062,11150,614.1897103
1063,430,11025.64103
1066,64,90.14084507
1068,1902,91.35446686
1069,8469,301.7637627
1070,629,30.62168346
1071,1596,102.4455998
1072,1478,73.58359056
1073,5792,205.7402671
1074,319,3752.941176
1075,17527,989.2200023
1077,9502,308.2962915
1079,692,613.4751773
1080,2334,1351.476549
1081,1698,117.1276816
1082,10322,223.8802733
1083,2888,183.0164766
1084,176,19.136675
1085,41117,686.633713
1086,687,18567.56757
1088,670,128.8461538
1089,28391,1698.73751
1092,1394,207.9665821
1093,325,64.43298969
1094,351,308.9788732
1095,14319,633.1918281
1096,2217,69.97443424
1097,111,64.95026331
1098,1101,35.11737688
1103,2479,5389.130435
1104,22865,4383.627301
1105,12350,9935.639582
1106,16021,1722.502957
1107,11611,7704.711347
1108,26688,7168.412571
1109,30250,5558.618155
1118,14071,3914.047288
1119,14152,3986.478873
1128,2631,2355.416294
1129,7019,2049.941589
1151,8698,3673.141892
1201,46504,878.7936052
1220,8603,349.7723207
1222,829,250.680375
1223,2314,33.17515161
1224,182,654.676259
1225,3117,124.1535888
1226,6945,263.2875881
1229,95,129.6043656
1230,8430,92.10900111
1235,2766,60.60074929
1236,1509,314.244065
1237,2496,40.37332384
1238,6047,173.5997474
1240,4534,212.0673527
1242,476,957.7464789
1243,334,17.90788698
1244,151,61.63265306
1245,985,35.20371694
1247,16087,306.2673723
1253,731,40.01751793
1254,972,66.75365703
1255,915,17.66204687
1256,692,19.30534245
1257,2121,58.53456603
1258,374,14.49219204
1259,635,25.07304746
1260,240,95.57945042
1262,1238,102.875187
1264,137,12.05879764
1266,1463,56.15691694
1267,7989,146.4420574
1270,778,24.4208676
1301,17700,694.3627163
1330,1506,45.18994179
1331,13263,249.1920938
1337,2596,69.74182629
1338,187,54.14012739
1339,1438,26.15591691
1340,1701,38.49984156
1341,1833,51.36468083
1342,1492,83.66042391
1343,75,15.39724902
1344,1498,109.8723779
1346,533,25.38578777
1347,166,287.694974
1349,1091,141.9648666
1350,121,11.28626061
1351,2270,108.4774921
1354,1500,108.9799477
1355,878,18.53102575
1360,3032,88.43517573
1364,7969,203.1301777
1366,1277,31.60499938
1367,522,19.67138981
1368,1261,30.13718274
1370,4084,81.97675586
1373,4600,190.3894706
1375,3684,258.8896697
1376,5247,1900.398406
1378,774,22.75065401
1379,813,26.91250952
1420,40337,1330.507636
1430,6089,164.6610238
1431,3074,129.6936967
1432,7089,839.5310279
1434,1795,339.8977466
1436,3336,347.6810839
1438,559,1031.365314
1440,20347,846.3106231
1450,10646,325.0091586
1451,4747,248.1183358
1452,4382,106.6932872
1453,40883,1436.00281
1460,8924,540.0956243
1462,10086,381.2655931
1463,11497,508.7168142
1464,7211,480.2850673
1467,316,166.7546174
1468,4021,187.8971963
1469,6801,297.2335125
1473,7277,205.3735219
1474,2125,214.235306
1475,10270,239.6620928
1501,16075,1039.981885
1503,2866,220.9374036
1504,9026,814.9887133
1505,4355,271.1537264
1506,3390,218.0625241
1507,12981,307.7306024
1510,13606,2406.012378
1515,2183,221.5568862
1516,8500,231.2673451
1518,2974,335.24969
1519,6595,604.3804985
1520,13997,774.1275372
1521,2481,201.8057589
1522,3310,202.1003786
1523,7582,301.016357
1524,6696,419.1549296
1525,290,645.8797327
1527,13246,850.793243
1529,3190,650.2242152
1531,999,48.05425946
1532,14155,766.1290323
1534,5631,642.9550126
1535,4680,220.0488998
1536,6888,825.9983211
1537,2248,321.9246742
1540,11291,583.363472
1541,3413,96.38792397
1542,2202,546.9448584
1543,7973,227.1251139
1545,35299,1702.058923
1550,16719,824.408284
1560,4527,1269.133726
1561,330,2682.926829
1562,11688,355.994152
1564,7808,254.8469221
1566,6294,221.994921
1568,7480,348.880597
1569,13569,466.6093535
1570,16767,1354.361874
1571,11390,547.1489648
1581,18272,887.6797513
1583,7591,601.7439556
1585,4554,178.2387476
1588,9733,1130.035992
1590,8875,277.265769
1602,22819,3956.823305
1603,19916,4412.051396
1604,34677,5385.463581
1605,26221,4647.465438
1606,19077,3217.03204
1607,8351,2637.713203
1608,3888,8678.571429
1609,22421,5869.371728
1610,23945,11262.93509
1611,2242,651.3654852
1612,4845,316.3565132
1701,31217,1840.733534
1702,37206,4597.874444
1718,469,9978.723404
1719,4996,485.7087303
1720,21361,1083.599655
1721,16593,1345.742092
1730,13221,965.1773982
1731,1396,1764.854614
1740,4897,245.4390537
1741,4852,317.8512938
1742,17726,725.1084022
1745,397,994.9874687
1746,13547,726.5754894
1747,5911,1143.105782
1748,14925,568.3332699
1749,19063,1654.487068
1752,38499,1845.058948
1754,10106,1938.615001
1756,5839,328.5135591
1757,28061,1885.819892
1760,32786,2213.625008
1770,4119,260.4160081
1772,9370,688.1609871
1773,5112,375.3303965
1775,6590,380.6388263
1776,17659,728.5366558
1778,13109,861.9805366
1801,38903,3074.363838
