,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
0,1001,56663,16769,1465.565461
1,1002,49853,29049,527.751031
2,1003,28462,10372,14587.904359999999
3,1005,75423,5079,114.8004159
4,1007,79076,14649,278.2706153
5,1008,63980,1263,23.47758198
6,1009,51452,741,929.7365118999999
7,1010,75625,3609,103.87704000000001
8,1011,63476,1370,43.33248988
9,1012,58750,661,50.38493788
10,1013,36578,23188,4123.044097
11,1020,50058,29668,2379.14996
12,1022,50440,2451,514.8078135
13,1026,60320,946,39.41009832
14,1027,58573,17660,436.03861629999994
15,1028,80252,15720,1208.67292
16,1029,62955,789,49.78546189
17,1030,71106,11669,983.3150754000001
18,1031,61250,1308,161.641127
19,1032,67692,570,48.4323222
20,1034,63980,2021,28.2274397
21,1035,69911,5250,227.4105518
22,1036,78869,5109,261.8254497
23,1037,61250,838,59.38629438
24,1038,53939,2545,254.5509102
25,1039,66284,1336,101.1584766
26,1040,35549,39880,1873.972088
27,1050,62097,2530,66.00746171
28,1053,60477,1685,328.3960242
29,1054,67831,1851,81.15929320000001
30,1056,63318,21103,775.7029957999999
31,1057,73254,8534,190.0329563
32,1060,48069,15284,1399.6337
33,1062,60686,11150,614.1897102999999
34,1063,40694,430,11025.641029999999
35,1066,53939,64,90.14084507
36,1068,77396,1902,91.35446686
37,1069,50345,8469,301.7637627
38,1070,60320,629,30.62168346
39,1071,63980,1596,102.4455998
40,1072,67831,1478,73.58359056
41,1073,80738,5792,205.74026709999998
42,1074,75423,319,3752.941176
43,1075,63053,17527,989.2200023
44,1077,73645,9502,308.2962915
45,1079,51452,692,613.4751772999999
46,1080,50100,2334,1351.476549
47,1081,65917,1698,117.12768159999999
48,1082,51936,10322,223.8802733
49,1083,55030,2888,183.01647659999998
50,1084,58750,176,19.136675
51,1085,57598,41117,686.633713
52,1086,93611,687,18567.56757
53,1088,53939,670,128.8461538
54,1089,53711,28391,1698.7375100000002
55,1092,55030,1394,207.9665821
56,1093,59722,325,64.43298969
57,1094,61250,351,308.9788732
58,1095,89486,14319,633.1918281000001
59,1096,66148,2217,69.97443424
60,1097,63980,111,64.95026331
61,1098,60320,1101,35.11737688
62,1103,16963,2479,5389.130435
63,1104,35380,22865,4383.6273009999995
64,1105,17756,12350,9935.639582
65,1106,91889,16021,1722.502957
66,1107,23557,11611,7704.7113469999995
67,1108,37411,26688,7168.412570999999
68,1109,34638,30250,5558.618155
69,1118,55853,14071,3914.047288
70,1119,45184,14152,3986.4788729999996
71,1128,63177,2631,2355.416294
72,1129,58704,7019,2049.941589
73,1151,34175,8698,3673.141892
74,1201,46765,46504,878.7936052000001
75,1220,38379,8603,349.77232069999997
76,1222,47145,829,250.680375
77,1223,48478,2314,33.17515161
78,1224,66458,182,654.676259
79,1225,57419,3117,124.15358880000001
80,1226,57505,6945,263.2875881
81,1229,55096,95,129.6043656
82,1230,53584,8430,92.10900111
83,1235,63877,2766,60.60074929
84,1236,55718,1509,314.244065
85,1237,69659,2496,40.37332384
86,1238,51053,6047,173.5997474
87,1240,60458,4534,212.0673527
88,1242,60604,476,957.7464788999999
89,1243,60320,334,17.90788698
90,1244,57917,151,61.63265306
91,1245,63152,985,35.20371694
92,1247,38405,16087,306.26737230000003
93,1253,62955,731,40.01751793
94,1254,79145,972,66.75365703
95,1255,62955,915,17.66204687
96,1256,54167,692,19.30534245
97,1257,47145,2121,58.53456603
98,1258,55764,374,14.49219204
99,1259,57917,635,25.07304746
100,1260,53297,240,95.57945042
101,1262,55096,1238,102.875187
102,1264,63250,137,12.05879764
103,1266,64328,1463,56.15691694
104,1267,69925,7989,146.4420574
105,1270,70662,778,24.4208676
106,1301,47833,17700,694.3627163
107,1330,70326,1506,45.18994179
108,1331,49110,13263,249.1920938
109,1337,57550,2596,69.74182629
110,1338,56596,187,54.14012739
111,1339,6531,1438,26.15591691
112,1341,70326,1833,51.36468083
113,1342,61912,1492,83.66042391
114,1343,54167,75,15.39724902
115,1344,54836,1498,109.8723779
116,1347,50189,166,287.694974
117,1349,51401,1091,141.9648666
